2-gram,*/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,2/1:2,3/1:2,3/2:3,4/1:2,4/2:3,4/3:4,5/1:2,5/2:3,5/3:4,5/4:5,6/1:2,6/2:3,6/3:4,6/4:5,6/5:6,7/1:2,7/2:3,7/3:4,7/4:5,7/5:6,7/6:7,8/1:2,8/2:3,8/3:4,8/4:5,8/5:6,8/6:7,8/7:8,9/1:2,9/2:3,9/3:4,9/4:5,9/5:6,9/6:7,9/7:8,9/8:9,*/1:2,*/2:3,*/3:4,*/4:5,*/5:6,*/6:7,*/7:8,*/8:9,*/9:10,*/-9:-8,*/-8:-7,*/-7:-6,*/-6:-5,*/-5:-4,*/-4:-3,*/-3:-2,*/-2:-1
DE,21565300072,424296593,250559180,2005262682,2727533437,2945814185,3067219426,3359025340,2454895381,424296593,244085453,6473728,515344944,164165926,1325751814,506760937,152134421,1619598203,449039879,1103030831,16177558,519573467,1065899906,241132427,1339936514,9686868,220245692,406850875,581694280,508805202,1033336304,163449820,148841160,590133771,144246660,1085717954,193299677,1132153640,35317517,120774316,200852086,116169636,316517870,403061159,130049164,8183007143,701125013,4693235008,2954715905,1161969152,2552338877,689014624,392685653,124085575,1441618531,1519868303,1996308753,1593931550,1869347107,2233592111,5342215112,3333011908
HI,21520845925,15453894,4871157782,4529738685,5204828558,1401776226,1633952990,1300113919,792983229,15453894,4854984558,16173225,517689371,4010637701,1411615,93127037,5081242301,10319788,20139435,325648038,520615512,159911241,382955160,12646279,693097633,314490903,113823752,423209820,79304421,10026466,80435996,555660119,86416519,90308479,454737218,30742090,1813504,79969236,123092969,42528709,58425469,29076754,419122304,37839979,2927816,6832412744,10869916459,511041145,1211371014,643745836,485675024,245921292,243914054,159225477,260937384,294759259,1463480388,827795123,943566774,7435440935,9843559424,81968855
RI,20516398906,3790836,63838797,535087228,2167806454,3072316369,3371697229,3227389765,3120679356,3790836,43252803,20585995,375837848,129031638,30217744,695505813,1155518745,298606684,18175215,312066477,909984795,1556542179,280043755,13679167,130268366,1323029973,814602504,950667730,147203209,5925452,55158369,670170569,316827623,681770905,1288429814,195909376,19123115,21619450,494830093,389944835,400475028,628477123,1135873212,47731176,1728446,1674573753,5135905228,3879992519,2656411641,3396484241,1913887106,869343913,472211009,352143629,558676975,1215427183,1950409909,3049293375,4352392803,7595888690,1242357830,116352223
RO,20491179119,3553116,123325944,4568732456,2097023420,2269338675,3570351191,2937296607,1354917215,3553116,88102817,35223128,772916114,3712535577,83280767,542920996,1314740736,155377623,83984068,245447835,1160356229,630892192,201280228,31362195,178859267,2056355507,769242694,192647519,354620485,18625724,107014641,1842627342,282375117,370907706,256111646,72901703,5358458,72545791,776682377,88689965,180393306,83409406,131497519,17969838,3729020,2039254484,12454757370,2209122303,1921284599,1156812457,473307816,139544413,45865544,32487029,1339732402,1360320337,2570931205,2955080580,3096614104,3377605285,4620724318,269843141
IC,19701195497,4187252,77721515,319752169,4057542507,1882307623,2413742084,3366358965,2199450529,4187252,58803556,18917960,9827640,288545318,21379213,5058828,56410502,3610019575,386053605,2133571,177259961,143498467,921633467,637782161,5562334,374501576,197938684,738533651,657066222,440139622,779913,190263125,52130316,553824001,1035251352,489875356,1044234908,1473438,89955986,51465828,376282132,447535102,681769782,200256792,350711476,92018230,1336334676,4098427439,3413457340,4075772048,2119578679,2308429101,853738066,611417157,239894046,668103968,1156079254,2030591184,1799740351,3528636044,6449906844,3712421268
NE,19504235771,18465843,3327661541,2267545113,1909872227,2037922380,2537320881,2535140535,2205397951,18465843,1154799527,2172862015,807229372,234931934,1225383809,610583242,95512705,698956580,504819703,354560994,167879345,192710731,939792933,382978381,319583641,60635123,700056224,361925957,594129134,500990807,169158893,35645479,196682080,102985411,609009937,1042899995,378758746,367621445,31320234,263909545,182425511,62089351,437384480,538310354,322337038,4170065477,2981193689,3588454912,2265096488,1825228905,2126097169,1108372608,791737744,297003761,575313680,456823205,863651435,914523440,1833065327,2965517393,5707093838,5680400976
EA,19403941064,3817682,245499172,3691838498,4601929123,2529703812,3534906940,2490323395,1118214687,3817682,74234022,171265151,899656856,2418013773,374167871,436380529,2647798869,1490419043,27330685,172232996,1461968775,393209001,473666527,28626517,208983749,1683442987,716947923,614696822,299879219,10956245,56715818,896468906,599833279,529048560,209047293,189572603,9636942,14374989,307295648,305731764,119596535,260014978,45158465,60724322,5317993,1883649718,9923762242,3965293773,2003172137,1020824403,303749878,145624573,106946239,20051934,235603205,542218353,1589342897,2761408344,3502038395,4857707990,5087364437,633940532
RA,19332539913,6855400,196947049,814347542,2027988459,1833762640,3257149815,2522742859,2661096684,6855400,148863857,48083193,488148947,259727424,66471173,521421614,1118050842,255378320,133137686,629970291,741843879,273754523,105608122,82585829,255766742,656842454,265494371,512687955,1493433278,72925020,136567817,726042991,375289852,252104888,788054429,223567688,21115200,74532304,601415385,181806878,577733209,789100824,345408134,72641703,18458254,2338918758,5055336900,1688239340,2230218284,4167130545,1833809452,715638642,844075687,297370607,461280656,1116903211,1887611125,4089290522,3544022111,3870558598,2773411642,463224290
CE,18367773426,13449392,62025009,893684635,2181191713,2448930165,3307343487,2676607128,2620307058,13449392,13727288,48297722,233993306,3070089,656621242,170202355,97884657,109284557,1803820147,246706470,36137043,442829876,662121593,1061135187,689218555,27411480,150065301,775501480,479416877,1185729799,91511863,10666432,471369502,207801166,174050920,597346608,1123860643,193409297,9145838,570780585,502383728,44883145,28175440,394817350,876711682,1787953761,242762206,2726559415,4744595418,1834944128,1957407539,1625815535,1274762750,1299731067,410090992,417843361,1841332891,1409674559,672982123,1805368351,3004468823,8502746030
LI,17604626630,15473761,113084326,2066801271,1188214319,2438998428,2894941757,2623147947,2092962960,15473761,97464909,15619418,1988676842,61438073,16686358,747570388,273319305,156595818,10728811,1063486515,208348470,627386299,526619224,13157924,435066834,153906070,363870877,1836794778,71906406,33396797,233430102,183514474,756215944,440005118,829616954,174320508,6044853,197512520,94017617,592733085,404378504,163948758,551034378,86332493,3005612,5085286522,1064627490,2875971697,3967311061,1509350843,1340416490,795852867,539636784,119418290,537819703,1083705342,1707297395,3026267191,2245600668,7183810604,1223576589,118468788
